model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
Qwen,10,Loc,1,0,1,0.8,0.804,0.8,0.799,0.001,0.001006
Qwen,10,Magn,3,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Magn,2,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,Magn,1,0,1,0.66,0.706,0.66,0.637,0.0024,0.003537
Qwen,10,Modif_ajout_de_sens,2,0,1,0.73,0.735,0.73,0.728,0.0006,0.000659
Qwen,10,Modif_ajout_de_sens,1,0,1,0.52,0.52,0.52,0.52,0.0006,0.000573
Qwen,10,Modif_sens_vide,2,0,1,0.83,0.875,0.83,0.824,0.0016,0.001854
Qwen,10,Modif_sens_vide,1,0,1,0.43,0.418,0.43,0.411,0.0016,0.002326
Qwen,10,Modificateur,1,0,1,0.89,0.894,0.89,0.89,0.0004,0.000402
Qwen,10,Mult,3,0,1,0.82,0.829,0.82,0.819,0.0006,0.00064
Qwen,10,Mult,1,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,Mult,2,0,1,0.7,0.708,0.7,0.697,0.0,0.0
Qwen,10,N_dériv_ajout_de_sens,2,0,1,0.6,0.604,0.6,0.596,0.0,0.0
Qwen,10,N_dériv_ajout_de_sens,1,0,1,0.3,0.291,0.3,0.291,0.004,0.003187
Qwen,10,N_dériv_circonstancielle,1,0,1,0.6,0.604,0.6,0.596,0.0,0.0
Qwen,10,N_dériv_circonstancielle,3,0,1,0.51,0.513,0.51,0.464,0.0004,0.000772
Qwen,10,N_dériv_circonstancielle,2,0,1,0.35,0.348,0.35,0.348,0.0,0.0
Qwen,10,Nom_gouverneur,1,0,1,0.8,0.857,0.8,0.792,0.0,0.0
Qwen,10,Oper1,4,0,1,0.67,0.682,0.67,0.664,0.0006,0.000727
Qwen,10,Oper1,1,0,1,0.64,0.691,0.64,0.613,0.0004,0.000702
Qwen,10,Oper1,2,0,1,0.61,0.665,0.61,0.574,0.0004,0.000702
Qwen,10,Oper1,3,0,1,0.61,0.665,0.61,0.574,0.0004,0.000702
Qwen,10,Oper2,4,0,1,0.6,0.656,0.6,0.56,0.0,0.0
Qwen,10,Oper2,3,0,1,0.46,0.289,0.46,0.329,0.0004,0.001426
Qwen,10,Oper2,1,0,1,0.45,0.402,0.45,0.373,0.0,0.0
Qwen,10,Oper2,2,0,1,0.41,0.362,0.41,0.355,0.0004,0.000845
Qwen,10,Oper_i,1,0,1,0.57,0.67,0.57,0.502,0.0006,0.000322
Qwen,10,Oper_i,2,0,1,0.53,0.559,0.53,0.454,0.0006,0.00163
Qwen,10,Oper_i,3,0,1,0.51,0.513,0.51,0.464,0.0004,0.000772
Qwen,10,Pred,3,0,1,0.79,0.852,0.79,0.78,0.0004,0.000544
Qwen,10,Pred,1,0,1,0.65,0.698,0.65,0.625,0.002,0.00323
Qwen,10,Pred,2,0,1,0.65,0.7,0.65,0.627,0.0,0.0
Qwen,10,Qual1,4,0,1,0.75,0.753,0.75,0.749,0.0,0.0
Qwen,10,Qual1,2,0,1,0.67,0.671,0.67,0.669,0.0006,0.000621
Qwen,10,Qual1,3,0,1,0.65,0.652,0.65,0.649,0.0,0.0
Qwen,10,Qual1,1,0,1,0.52,0.52,0.52,0.52,0.0006,0.000573
Qwen,10,Real1,3,0,1,0.74,0.767,0.74,0.733,0.0004,0.000515
Qwen,10,Real1,1,0,1,0.69,0.716,0.69,0.681,0.0014,0.001427
Qwen,10,Real1,4,0,1,0.67,0.677,0.67,0.667,0.0006,0.000613
Qwen,10,Real1,5,0,1,0.65,0.652,0.65,0.649,0.0,0.0
Qwen,10,Real1,2,0,1,0.63,0.641,0.63,0.624,0.0006,0.000507
Qwen,10,Real2,2,0,1,0.65,0.7,0.65,0.627,0.0,0.0
Qwen,10,Real2,3,0,1,0.57,0.582,0.57,0.557,0.0016,0.001246
Qwen,10,Real2,4,0,1,0.56,0.562,0.56,0.556,0.0004,0.000403
Qwen,10,Real2,5,0,1,0.54,0.544,0.54,0.531,0.0004,0.00032
Qwen,10,Real2,1,0,1,0.4,0.396,0.4,0.394,0.0,0.0
Qwen,10,Real3,5,0,1,0.77,0.772,0.77,0.77,0.0006,0.000615
Qwen,10,Real3,1,0,1,0.73,0.748,0.73,0.725,0.0006,0.000536
Qwen,10,Real3,4,0,1,0.68,0.684,0.68,0.679,0.0036,0.003545
Qwen,10,Real3,2,0,1,0.66,0.661,0.66,0.659,0.0004,0.000414
Qwen,10,Real3,3,0,1,0.5,0.501,0.5,0.497,0.001,0.000836
Qwen,10,Real_i,2,0,1,0.7,0.812,0.7,0.67,0.0,0.0
Qwen,10,Real_i,4,0,1,0.68,0.723,0.68,0.663,0.0006,0.000888
Qwen,10,Real_i,3,0,1,0.59,0.638,0.59,0.552,0.0004,0.000262
Qwen,10,Real_i,1,0,1,0.49,0.489,0.49,0.471,0.0004,0.00028
Qwen,10,RealΩ,2,0,1,0.75,0.753,0.75,0.749,0.0,0.0
Qwen,10,RealΩ,3,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,RealΩ,1,0,1,0.68,0.681,0.68,0.68,0.0006,0.000621
Qwen,10,RealΩ,5,0,1,0.67,0.673,0.67,0.669,0.0006,0.000586
Qwen,10,RealΩ,4,0,1,0.65,0.667,0.65,0.642,0.001,0.000838
Qwen,10,Redun,3,0,1,0.92,0.922,0.92,0.92,0.0006,0.000597
Qwen,10,Redun,1,0,1,0.89,0.907,0.89,0.889,0.0004,0.000444
Qwen,10,Redun,2,0,1,0.75,0.753,0.75,0.749,0.0,0.0
Qwen,10,Result2,2,0,1,0.76,0.838,0.76,0.745,0.0004,0.000544
Qwen,10,Result2,1,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,S0,2,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,S0,1,0,1,0.7,0.708,0.7,0.697,0.0,0.0
Qwen,10,S1,2,0,1,0.75,0.833,0.75,0.733,0.0,0.0
Qwen,10,S1,1,0,1,0.68,0.713,0.68,0.669,0.0016,0.001335
Qwen,10,S1,3,0,1,0.62,0.623,0.62,0.617,0.0006,0.000678
Qwen,10,S1,4,0,1,0.57,0.575,0.57,0.562,0.0006,0.000761
Qwen,10,S2,4,0,1,0.65,0.794,0.65,0.601,0.0,0.0
Qwen,10,S2,1,0,1,0.61,0.665,0.61,0.574,0.0004,0.000702
Qwen,10,S2,2,0,1,0.49,0.491,0.49,0.471,0.0014,0.00096
Qwen,10,S2,3,0,1,0.48,0.476,0.48,0.458,0.0006,0.000753
Qwen,10,S3,4,0,1,0.67,0.708,0.67,0.653,0.0016,0.002106
Qwen,10,S3,2,0,1,0.59,0.609,0.59,0.571,0.0004,0.000642
Qwen,10,S3,3,0,1,0.59,0.693,0.59,0.531,0.0004,0.000751
Qwen,10,S3,1,0,1,0.5,0.474,0.5,0.448,0.006,0.011072
Qwen,10,S_i,3,0,1,0.69,0.708,0.69,0.684,0.0014,0.001359
Qwen,10,S_i,2,0,1,0.6,0.604,0.6,0.596,0.0,0.0
Qwen,10,S_i,1,0,1,0.55,0.554,0.55,0.541,0.0,1.4e-05
Qwen,10,Sing,1,0,1,0.95,0.955,0.95,0.95,0.0,0.0
Qwen,10,Sing,3,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Sing,2,0,1,0.8,0.812,0.8,0.798,0.0,0.0
Qwen,10,Sinstr,4,0,1,0.7,0.812,0.7,0.67,0.0,0.0
Qwen,10,Sinstr,3,0,1,0.61,0.693,0.61,0.569,0.0014,0.000923
Qwen,10,Sinstr,2,0,1,0.6,0.656,0.6,0.56,0.0,0.0
Qwen,10,Sinstr,1,0,1,0.55,0.555,0.55,0.54,0.0,0.0
Qwen,10,Sloc,4,0,1,0.91,0.924,0.91,0.909,0.0004,0.000414
Qwen,10,Sloc,2,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Sloc,3,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Sloc,1,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Sres,1,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Sres,2,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Sres,4,0,1,0.7,0.7,0.7,0.7,0.0,0.0
Qwen,10,Sres,3,0,1,0.67,0.671,0.67,0.669,0.0006,0.000621
Qwen,10,Subst_sens_opposé,2,0,1,0.71,0.722,0.71,0.706,0.0004,0.000358
Qwen,10,Subst_sens_opposé,1,0,1,0.68,0.681,0.68,0.68,0.0006,0.000621
Qwen,10,Subst_sens_similaire,1,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,Subst_sens_similaire,2,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,Substitutive,1,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Syn,3,0,1,0.7,0.812,0.7,0.67,0.0,0.0
Qwen,10,Syn,2,0,1,0.63,0.637,0.63,0.625,0.0016,0.001599
Qwen,10,Syn,1,0,1,0.58,0.584,0.58,0.577,0.0016,0.00139
Qwen,10,Unité,2,0,1,0.7,0.708,0.7,0.697,0.0,0.0
Qwen,10,Unité,1,0,1,0.61,0.628,0.61,0.595,0.0004,0.00055
Qwen,10,V0,3,0,1,0.87,0.897,0.87,0.868,0.0006,0.00066
Qwen,10,V0,1,0,1,0.79,0.852,0.79,0.78,0.0004,0.000544
Qwen,10,V0,2,0,1,0.79,0.832,0.79,0.783,0.0004,0.00039
Qwen,10,V_collocation_ajout_de_sens,2,0,1,0.8,0.811,0.8,0.798,0.001,0.001112
Qwen,10,V_collocation_ajout_de_sens,1,0,1,0.66,0.661,0.66,0.659,0.0004,0.000414
Qwen,10,V_dériv_sens_vide,2,0,1,0.71,0.76,0.71,0.695,0.0014,0.002037
Qwen,10,V_dériv_sens_vide,1,0,1,0.56,0.61,0.56,0.502,0.0004,0.000859
Qwen,10,Ver,3,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Ver,1,0,1,0.75,0.753,0.75,0.749,0.0,0.0
Qwen,10,Ver,2,0,1,0.65,0.652,0.65,0.649,0.0,0.0
Qwen,10,Verbe_support,2,0,1,0.84,0.843,0.84,0.84,0.0004,0.000394
Qwen,10,Verbe_support,1,0,1,0.68,0.716,0.68,0.666,0.0006,0.000702
Qwen,10,Verbes_causatifs,2,0,1,0.77,0.79,0.77,0.766,0.0006,0.000693
Qwen,10,Verbes_causatifs,3,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,Verbes_causatifs,1,0,1,0.63,0.661,0.63,0.612,0.0006,0.000594
Qwen,10,Verbes_de_phase,1,0,1,0.89,0.891,0.89,0.89,0.0004,0.000406
Qwen,10,Verbes_de_phase,2,0,1,0.84,0.864,0.84,0.837,0.0004,0.000391
Qwen,10,Verbes_de_phase,3,0,1,0.82,0.841,0.82,0.817,0.0006,0.000566
Qwen,10,Vreal,3,0,1,0.71,0.817,0.71,0.682,0.0014,0.002416
Qwen,10,Vreal,1,0,1,0.62,0.76,0.62,0.562,0.0006,0.001197
Qwen,10,Vreal,2,0,1,0.47,0.469,0.47,0.465,0.0006,0.000619
