model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,10,Fin,2,0,0,0.57,0.664,0.57,0.516,0.0006,0.001811
LLaMA,10,Fin,3,0,0,0.57,0.602,0.57,0.545,0.0036,0.002701
LLaMA,10,Fin,1,0,0,0.52,0.474,0.52,0.445,0.0016,0.007574
LLaMA,10,Func0,4,0,0,0.71,0.798,0.71,0.683,0.0034,0.006107
LLaMA,10,Func0,1,0,0,0.7,0.771,0.7,0.68,0.001,0.001308
LLaMA,10,Func0,3,0,0,0.62,0.733,0.62,0.569,0.0016,0.006295
LLaMA,10,Func0,2,0,0,0.61,0.609,0.61,0.556,0.0044,0.014105
LLaMA,10,Func2,2,0,0,0.52,0.522,0.52,0.443,0.0006,0.003329
LLaMA,10,Func2,4,0,0,0.51,0.462,0.51,0.459,0.0034,0.01068
LLaMA,10,Func2,1,0,0,0.49,0.39,0.49,0.412,0.0004,0.004417
LLaMA,10,Func2,3,0,0,0.46,0.33,0.46,0.372,0.0034,0.007017
LLaMA,10,Func_i,1,0,0,0.72,0.812,0.72,0.693,0.0046,0.007715
LLaMA,10,Func_i,3,0,0,0.69,0.814,0.69,0.646,0.0094,0.015944
LLaMA,10,Func_i,2,0,0,0.62,0.726,0.62,0.565,0.0046,0.010115
LLaMA,10,Gener,3,0,0,0.74,0.795,0.74,0.725,0.0054,0.007351
LLaMA,10,Gener,2,0,0,0.67,0.713,0.67,0.655,0.0016,0.001468
LLaMA,10,Gener,1,0,0,0.63,0.68,0.63,0.606,0.0006,0.002283
LLaMA,10,Groupe,2,0,0,0.74,0.761,0.74,0.734,0.0014,0.001804
LLaMA,10,Groupe,1,0,0,0.6,0.651,0.6,0.564,0.005,0.007606
LLaMA,10,Incep,1,0,0,0.66,0.775,0.66,0.61,0.0074,0.015996
LLaMA,10,Incep,4,0,0,0.63,0.772,0.63,0.563,0.0086,0.018054
LLaMA,10,Incep,2,0,0,0.62,0.581,0.62,0.532,0.0136,0.033777
LLaMA,10,Incep,3,0,0,0.52,0.608,0.52,0.447,0.0016,0.001492
LLaMA,10,Instr,1,0,0,0.67,0.787,0.67,0.626,0.0046,0.009649
LLaMA,10,Instr,2,0,0,0.66,0.724,0.66,0.612,0.0164,0.029346
LLaMA,10,Labreal12,4,0,0,0.74,0.824,0.74,0.711,0.0114,0.018179
LLaMA,10,Labreal12,2,0,0,0.7,0.714,0.7,0.646,0.017,0.0366
LLaMA,10,Labreal12,3,0,0,0.66,0.671,0.66,0.6,0.0134,0.033055
LLaMA,10,Labreal12,1,0,0,0.64,0.642,0.64,0.581,0.0094,0.027116
LLaMA,10,Liqu,2,0,0,0.65,0.721,0.65,0.62,0.004,0.005499
LLaMA,10,Liqu,1,0,0,0.6,0.677,0.6,0.545,0.004,0.010711
LLaMA,10,Liqu,4,0,0,0.59,0.641,0.59,0.553,0.0024,0.004312
LLaMA,10,Liqu,3,0,0,0.57,0.636,0.57,0.535,0.0046,0.0063
LLaMA,10,Loc,2,0,0,0.62,0.732,0.62,0.565,0.0046,0.012615
LLaMA,10,Loc,1,0,0,0.57,0.664,0.57,0.521,0.0046,0.004408
LLaMA,10,Magn,3,0,0,0.64,0.745,0.64,0.596,0.0024,0.005606
LLaMA,10,Magn,2,0,0,0.63,0.733,0.63,0.581,0.0036,0.007497
LLaMA,10,Magn,1,0,0,0.59,0.717,0.59,0.52,0.0024,0.007346
LLaMA,10,Modif_ajout_de_sens,2,0,0,0.61,0.715,0.61,0.555,0.0054,0.010655
LLaMA,10,Modif_ajout_de_sens,1,0,0,0.47,0.358,0.47,0.377,0.0006,0.004058
LLaMA,10,Modif_sens_vide,2,0,0,0.65,0.577,0.65,0.575,0.019,0.043992
LLaMA,10,Modif_sens_vide,1,0,0,0.46,0.363,0.46,0.374,0.0014,0.002444
LLaMA,10,Modificateur,1,0,0,0.61,0.521,0.61,0.538,0.0094,0.029733
LLaMA,10,Mult,3,0,0,0.65,0.737,0.65,0.609,0.005,0.009323
LLaMA,10,Mult,1,0,0,0.59,0.704,0.59,0.535,0.0004,0.000587
LLaMA,10,Mult,2,0,0,0.59,0.613,0.59,0.56,0.0034,0.005947
LLaMA,10,N_dériv_ajout_de_sens,2,0,0,0.54,0.451,0.54,0.46,0.0014,0.011842
LLaMA,10,N_dériv_ajout_de_sens,1,0,0,0.41,0.318,0.41,0.339,0.0014,0.001243
LLaMA,10,N_dériv_circonstancielle,1,0,0,0.48,0.333,0.48,0.374,0.0046,0.005387
LLaMA,10,N_dériv_circonstancielle,3,0,0,0.46,0.363,0.46,0.372,0.0014,0.00213
LLaMA,10,N_dériv_circonstancielle,2,0,0,0.36,0.222,0.36,0.271,0.0094,0.001839
LLaMA,10,Nom_gouverneur,1,0,0,0.64,0.758,0.64,0.584,0.0064,0.016117
LLaMA,10,Oper1,4,0,0,0.62,0.675,0.62,0.543,0.0076,0.020545
LLaMA,10,Oper1,2,0,0,0.57,0.585,0.57,0.489,0.0056,0.015873
LLaMA,10,Oper1,3,0,0,0.56,0.564,0.56,0.499,0.0074,0.015186
LLaMA,10,Oper1,1,0,0,0.55,0.58,0.55,0.51,0.0,0.00079
LLaMA,10,Oper2,4,0,0,0.54,0.461,0.54,0.453,0.0014,0.010109
LLaMA,10,Oper2,2,0,0,0.44,0.333,0.44,0.361,0.0034,0.009185
LLaMA,10,Oper2,3,0,0,0.43,0.298,0.43,0.338,0.0046,0.002405
LLaMA,10,Oper2,1,0,0,0.42,0.329,0.42,0.346,0.0026,0.005458
LLaMA,10,Oper_i,3,0,0,0.43,0.305,0.43,0.343,0.0006,0.002591
LLaMA,10,Oper_i,1,0,0,0.42,0.264,0.42,0.313,0.0046,0.00033
LLaMA,10,Oper_i,2,0,0,0.38,0.285,0.38,0.309,0.0056,0.0055
LLaMA,10,Pred,1,0,0,0.68,0.784,0.68,0.64,0.0076,0.012128
LLaMA,10,Pred,3,0,0,0.68,0.766,0.68,0.642,0.0096,0.017385
LLaMA,10,Pred,2,0,0,0.65,0.773,0.65,0.601,0.004,0.009038
LLaMA,10,Qual1,4,0,0,0.56,0.586,0.56,0.529,0.0044,0.004795
LLaMA,10,Qual1,3,0,0,0.48,0.42,0.48,0.393,0.0006,0.001464
LLaMA,10,Qual1,1,0,0,0.44,0.407,0.44,0.39,0.0034,0.005164
LLaMA,10,Qual1,2,0,0,0.42,0.418,0.42,0.365,0.0106,0.012213
LLaMA,10,Real1,3,0,0,0.64,0.771,0.64,0.576,0.0094,0.020756
LLaMA,10,Real1,4,0,0,0.63,0.768,0.63,0.559,0.0096,0.022843
LLaMA,10,Real1,5,0,0,0.58,0.67,0.58,0.515,0.0026,0.007713
LLaMA,10,Real1,1,0,0,0.55,0.539,0.55,0.449,0.005,0.015121
LLaMA,10,Real1,2,0,0,0.55,0.605,0.55,0.489,0.002,0.005591
LLaMA,10,Real2,5,0,0,0.58,0.543,0.58,0.497,0.0106,0.02513
LLaMA,10,Real2,4,0,0,0.57,0.532,0.57,0.47,0.0056,0.018803
LLaMA,10,Real2,1,0,0,0.55,0.596,0.55,0.483,0.003,0.008688
LLaMA,10,Real2,2,0,0,0.55,0.614,0.55,0.46,0.003,0.007673
LLaMA,10,Real2,3,0,0,0.55,0.589,0.55,0.464,0.001,0.007844
